elo region winPercent totalGames winStreak
1566 "Asia" 100 16 16
1566 "Oceania" 100 16 16
1565 "North America" 63.64 66 1
1564 "Asia" 69.47 95 6
1563 "Asia" 86.36 22 -2
1563 "Europe" 59.63 109 3
1561 "Asia" 55.28 284 -1
1561 "Asia" 75 44 3
1560 "Asia" 57.82 147 1
1559 "South America" 55.81 310 1
1559 "Oceania" 56 150 1
1558 "South America" 82.14 28 3
1555 "South America" 57.76 161 7
1555 "North America" 81.48 27 3
1555 "South America" 53.96 391 -2
1553 "North America" 54.13 242 2
1553 "South America" 60.19 108 4
1553 "Europe" 55.63 151 4
1552 "Asia" 59.12 137 1
1552 "Europe" 100 15 15
1552 "South America" 69.77 43 4
1551 "Oceania" 57.04 270 -1
1551 "South America" 67.92 53 4
1551 "Asia" 77.14 35 8
1550 "Oceania" 52.74 493 -2
1550 "North America" 100 15 15
1550 "Europe" 86.36 22 1
1549 "Asia" 56.62 219 1
1549 "Asia" 63.51 74 1
1549 "Asia" 52.04 565 1
1548 "South America" 56.23 265 -3
1548 "North America" 55.8 138 1
1547 "Europe" 58.76 97 2
1547 "Asia" 64.44 45 1
1546 "Oceania" 56.89 225 2
1545 "North America" 55.92 211 -3
1545 "Oceania" 54.7 298 2
1545 "Europe" 80.77 26 1
1544 "Oceania" 80 25 1
1543 "North America" 52.01 473 4
1543 "North America" 54.26 223 1
1543 "Asia" 86.96 23 -1
1543 "Europe" 59.7 67 -2
1542 "Europe" 79.41 34 -1
1541 "Oceania" 66 50 2
1541 "Europe" 100 15 15
1541 "Europe" 53.82 314 -1
1540 "Europe" 59.3 86 -1
1540 "Asia" 55.3 217 3
1540 "Europe" 56.96 158 1
1538 "Europe" 53.78 251 2
1537 "Europe" 55.67 203 -2
1537 "Asia" 60.28 141 5
1537 "Europe" 57.31 171 -2
1536 "Oceania" 59.12 137 6
1536 "Europe" 100 15 15
1535 "North America" 69.77 43 3
1535 "Asia" 70 40 2
1534 "Asia" 58.47 118 1
1533 "South America" 100 21 21
1532 "Asia" 72.22 36 3
1532 "Europe" 53.3 349 -2
1532 "North America" 61 100 3
1531 "Europe" 53.28 274 1
1529 "South America" 61.54 91 7
1528 "Europe" 57.14 196 1
1527 "Europe" 55.62 160 -1
1527 "Europe" 57.81 128 1
1527 "Europe" 55.31 179 3
1526 "Asia" 55.36 224 3
1526 "Asia" 64.29 56 1
1526 "Asia" 100 14 14
1526 "Asia" 52.92 257 1
1525 "Europe" 52.78 432 3
1525 "Europe" 64.38 73 4
1525 "North America" 71.79 39 3
1525 "Europe" 57.6 125 -1
1525 "Europe" 60 85 -1
1525 "South America" 86.36 22 -1
1523 "Asia" 54.38 274 -4
1523 "North America" 66.67 69 6
1522 "Europe" 59.71 139 1
1522 "Europe" 65.91 44 3
1522 "Europe" 100 14 14
1522 "North America" 100 14 14
1522 "Europe" 60 100 2
1521 "Europe" 51.68 567 -1
1520 "Europe" 57.95 176 1
1520 "Europe" 54.3 256 -1
1520 "Europe" 53.12 448 1
1519 "Europe" 56.41 195 1
1519 "Europe" 69.44 36 1
1518 "Europe" 75 28 1
1518 "Asia" 94.12 17 7
1518 "Oceania" 64.91 57 3
1518 "Europe" 57.14 175 1
1517 "Europe" 53.7 311 1
1517 "Asia" 93.75 16 9
1516 "Europe" 62.16 148 -2
1516 "Asia" 63.64 66 5
1516 "North America" 58.89 90 2
1516 "Europe" 54.4 250 3
1516 "Asia" 70.83 48 7
1515 "Europe" 56.67 180 2
1515 "North America" 53.82 288 4
1515 "South America" 62.69 67 1
1514 "Asia" 56.46 209 1
1514 "Europe" 54.1 244 3
1514 "Europe" 59.38 96 5
1514 "Europe" 64.72 479 76
1513 "Europe" 53.42 292 1
1513 "North America" 59.35 123 1
1513 "Asia" 60.63 127 2
1512 "Europe" 55.28 246 -2
1512 "Asia" 55.43 175 -1
1512 "North America" 58.82 102 1
1511 "Europe" 64.29 84 2
1511 "Asia" 62.9 62 -2
1511 "Europe" 60.61 99 2
1510 "Asia" 56.73 104 2
1510 "Europe" 55.15 165 -1
1509 "Asia" 55.13 263 1
1509 "Oceania" 59.18 196 -1
1509 "Europe" 54.18 299 2
1509 "Asia" 53.72 242 3
1508 "Europe" 51.85 432 1
1508 "Europe" 61.04 77 1
1508 "Europe" 94.12 17 9
1507 "Asia" 55.87 179 -5
1507 "Europe" 70.73 41 4
1507 "Asia" 59.6 99 -1
1506 "Asia" 58.28 151 4
1506 "Asia" 54.18 275 -5
1506 "Europe" 67.39 46 -1
1506 "Asia" 56.91 188 4
1506 "North America" 64.06 64 2
1506 "Europe" 74.51 51 4
1505 "Europe" 57.38 183 2
1505 "Oceania" 93.75 16 6
1505 "North America" 65.32 124 -1
1504 "North America" 55.84 197 6
1504 "Asia" 71.79 39 2
1504 "Europe" 80.65 31 -1
1503 "Europe" 57.63 118 7
1503 "Europe" 93.33 15 1
1503 "Asia" 80.65 31 1
1503 "North America" 58.59 128 1
1503 "South America" 68.35 79 2
1503 "Asia" 72.22 36 2
1503 "Asia" 100 13 13
1503 "Europe" 53.06 490 4
1503 "Asia" 62 100 4
1503 "Asia" 52.41 601 2
1502 "Oceania" 54.71 223 1
1502 "Europe" 89.47 19 6
1502 "South America" 61.19 134 -1
1502 "Europe" 61.19 67 1
1502 "Europe" 54.97 191 4
1502 "Oceania" 77.78 27 1
1502 "North America" 60.76 158 1
1502 "Asia" 59.02 122 -2
1501 "North America" 54.72 265 4
1501 "Asia" 93.75 16 6
1501 "Asia" 51.64 304 -2
1501 "Europe" 77.78 27 3
1501 "Europe" 57.26 124 1
1501 "Europe" 52.93 393 1
1500 "Asia" 100 13 13
1500 "Asia" 54.85 237 5
1500 "South America" 68.57 35 1
1499 "North America" 66.67 72 -1
1499 "South America" 88.24 17 -2
1499 "Oceania" 56.8 169 -2
1498 "Europe" 56.22 185 7
1498 "Asia" 88.89 18 1
1498 "Europe" 62.16 74 -1
1498 "Asia" 60.76 79 1
1497 "North America" 56.69 127 1
1497 "Asia" 54.12 279 1
1497 "North America" 56.59 205 7
1497 "Asia" 62.5 80 -1
1497 "North America" 100 13 13
1497 "North America" 74.19 31 -2
1497 "North America" 56.15 244 1
1496 "North America" 58.47 118 -2
1496 "Europe" 55.81 215 3
1496 "Europe" 88.89 18 4
1496 "Europe" 56.88 160 2
1495 "Asia" 53.55 394 -2
1495 "Europe" 68.25 63 4
1495 "Europe" 50.56 896 1
1495 "Europe" 58.73 126 1
1495 "North America" 88.89 18 1
1495 "Asia" 88.24 17 1
1495 "Europe" 56.1 164 3
1494 "North America" 55.35 215 2
1494 "North America" 60.19 103 3
1494 "North America" 59.3 86 5
1493 "Europe" 65.31 49 1
1493 "Europe" 86.36 22 3
1493 "Europe" 55.51 254 6
1491 "Europe" 78.26 23 -2
1490 "North America" 88.89 18 6
1490 "Asia" 56.3 119 3
1490 "Europe" 55.48 146 4
1489 "Europe" 57.69 182 4
1489 "Europe" 53.52 256 -1
1489 "North America" 74.07 27 -2
1489 "Oceania" 100 13 13
1487 "Europe" 85 20 5
1487 "North America" 83.33 18 -2
1487 "Europe" 65.75 73 3
1486 "Europe" 75 28 6
1486 "Oceania" 70.37 27 -3
1486 "Europe" 78.57 28 1
1485 "Asia" 60.95 105 1
1485 "South America" 63.41 82 -1
1484 "Asia" 54.46 336 1
1484 "North America" 67.31 52 1
1484 "Europe" 93.33 15 3
1484 "Europe" 55.26 114 -2
1484 "Europe" 52.12 495 4
1484 "Europe" 58.73 126 -1
1484 "Europe" 56.06 132 1
1483 "Asia" 56 200 3
1483 "North America" 100 13 13
1483 "North America" 100 13 13
1482 "Europe" 53.89 180 4
1482 "Asia" 55.39 204 4
1482 "North America" 56.3 119 2
1482 "Europe" 93.33 15 3
1482 "Europe" 93.33 15 3
1482 "Europe" 52.76 362 -1
1481 "Europe" 63.24 68 7
1481 "Asia" 61.9 105 2
1481 "Europe" 53.37 326 1
1481 "South America" 100 13 13
1481 "North America" 100 13 13
1481 "Europe" 69.7 33 1
1480 "Asia" 62.96 108 -2
1480 "North America" 53.71 229 -1
1480 "Asia" 80 25 2
1479 "Asia" 56.14 171 -3
1479 "Europe" 53.95 228 2
1479 "North America" 75.76 33 4
1478 "Europe" 52.23 314 1
1478 "South America" 67.57 37 -2
1478 "Asia" 52.6 384 4
1478 "Europe" 100 13 13
1478 "Europe" 56.79 81 2
1478 "Europe" 55.3 132 1
1478 "Europe" 55.1 196 1
1478 "Europe" 76.92 26 -1
1477 "North America" 55.92 211 1
1477 "Europe" 58.43 178 6
1476 "Asia" 54.82 228 2
1476 "Asia" 53.55 310 -2
1475 "Asia" 68.42 57 3
1475 "South America" 92.86 14 -1
1474 "North America" 59.48 116 1
1474 "Asia" 57.83 166 6
1474 "Asia" 68.29 41 -1
1473 "Europe" 55.92 152 2
1473 "Europe" 56.49 154 -2
1473 "Europe" 70.37 27 1
1473 "Europe" 80.95 21 1
1473 "North America" 55.26 152 1
1473 "Europe" 53.19 282 -1
1472 "Europe" 81.82 22 3
1472 "Europe" 56.33 158 1
1471 "Europe" 58.08 167 -1
1471 "Asia" 100 13 13
1471 "Europe" 62.71 59 9
1471 "Asia" 55.63 151 -3
1471 "Europe" 64.79 71 -3
1470 "Europe" 59.77 87 1
1470 "Asia" 77.27 22 1
1470 "Europe" 81.82 22 -1
1470 "Asia" 100 12 12
1469 "Europe" 62.26 53 2
1469 "South America" 55.97 134 1
1469 "Europe" 54.65 172 2
1469 "Europe" 55.61 196 3
1468 "Asia" 66.67 39 -6
1468 "Europe" 52.8 339 2
1468 "Europe" 57.31 171 2
1468 "Asia" 53.89 360 2
1468 "Europe" 52.46 366 1
1467 "North America" 57.49 167 -2
1467 "North America" 51.96 637 2
1466 "Europe" 53.48 187 -1
1466 "Europe" 56.72 134 -11
1466 "North America" 55.66 106 1
1466 "Europe" 80 20 1
1466 "South America" 78.57 28 1
1466 "North America" 59.09 66 -1
1466 "Asia" 56.7 97 1
1465 "Asia" 73.81 42 2
1465 "Oceania" 83.33 18 -2
1465 "Asia" 53.33 345 4
1465 "Europe" 56.88 160 -2
1465 "Europe" 66.67 42 4
1464 "Europe" 65.22 46 5
1464 "Europe" 54.96 131 -1
1464 "Europe" 92.86 14 3
1464 "Asia" 58.95 95 3
1464 "Europe" 68.09 47 6
1463 "Europe" 53.91 243 1
1463 "North America" 62.32 69 2
1463 "Europe" 87.5 16 -1
1463 "Europe" 92.86 14 1
1463 "Europe" 71.43 35 2
1462 "Europe" 56.32 190 2
1462 "Europe" 55.07 227 -3
1462 "North America" 100 12 12
1462 "Europe" 100 12 12
1462 "Europe" 100 12 12
1462 "North America" 53.92 217 4
1462 "Europe" 64.79 71 -1
1462 "North America" 53.96 265 1
1461 "Asia" 64.56 79 1
1461 "Europe" 59.57 94 -2
1461 "Asia" 57.81 64 -2
1461 "Europe" 100 12 12
1461 "Europe" 53.58 321 -1
1460 "North America" 65.28 72 3
1460 "Europe" 63.64 55 2
1459 "South America" 87.5 16 -1
1459 "Europe" 53.99 213 -1
1458 "Asia" 48.14 565 -1
1458 "Europe" 54.43 237 -2
1458 "Asia" 59.09 88 1
1458 "Europe" 52.79 269 1
1457 "Europe" 56.72 134 1
1457 "Asia" 88.89 18 8
1456 "Europe" 67.06 85 1
1456 "North America" 53.25 400 3
1456 "Europe" 60.38 106 7
1456 "Europe" 57.82 147 2
1456 "North America" 53.9 269 -1
1456 "Europe" 100 12 12
1456 "Oceania" 70 30 -3
1456 "Asia" 53.89 347 2
1456 "Europe" 92.86 14 -1
1456 "Europe" 55.8 138 3
1456 "Europe" 66 50 3
1456 "Europe" 60.64 94 1
1456 "Europe" 75.86 29 6
1455 "Asia" 69.57 46 11
1455 "Europe" 82.61 23 5
1455 "Europe" 59.41 101 1
1455 "North America" 52.91 327 1
1455 "Europe" 59.32 59 -2
1455 "North America" 58.65 104 2
1454 "Europe" 60.24 83 1
1454 "Europe" 54.02 261 1
1454 "South America" 57.04 135 2
1453 "Asia" 85.71 21 10
1452 "Europe" 87.5 16 1
1452 "Europe" 65.38 52 -1
1452 "Europe" 59.57 94 1
1452 "Asia" 54.52 310 2
1451 "North America" 52.74 383 1
1451 "North America" 82.35 34 17
1451 "Europe" 54.76 126 -1
1451 "Europe" 61.46 96 3
1451 "Asia" 61.04 77 3
1450 "Europe" 59.18 98 2
1450 "Europe" 92.86 14 4
1450 "Oceania" 62.35 85 1
1449 "Europe" 61.18 85 1
1449 "Asia" 58.33 72 -1
1449 "South America" 93.33 15 8
1449 "North America" 92.86 14 7
1448 "Europe" 74.07 27 -2
1448 "Europe" 92.86 14 9
1447 "North America" 55.71 140 1
1447 "South America" 73.91 23 -1
1447 "Europe" 81.82 22 4
1447 "Oceania" 63.1 84 1
1447 "South America" 55.84 77 -1
1447 "Europe" 55.38 130 -1
1446 "Europe" 50.82 486 -4
1446 "Asia" 56.82 176 1
1446 "Oceania" 76.19 21 2
1446 "Europe" 53.71 283 1
1446 "Europe" 52.34 128 2
1446 "North America" 57.06 170 -4
1446 "North America" 71.43 28 6
1445 "Asia" 92.86 14 2
1445 "North America" 53.89 334 2
1445 "Europe" 100 11 11
1445 "Europe" 56.88 160 1
1445 "North America" 55.72 271 -4
1445 "North America" 53.44 320 -1
1444 "Asia" 100 12 12
1444 "North America" 88.24 17 6
1443 "Oceania" 57.86 159 -4
1443 "North America" 56.12 139 2
1443 "Europe" 56.7 97 4
1443 "North America" 52.55 255 1
1443 "Europe" 63.93 61 1
1443 "Asia" 58.79 199 6
1442 "Europe" 60.78 102 6
1442 "Asia" 52.91 412 -2
1442 "North America" 68.42 57 1
1442 "South America" 69.05 42 3
1442 "Europe" 58.24 91 5
1442 "Europe" 56.56 122 -1
1442 "Europe" 67.65 34 -1
1441 "Europe" 56.25 144 1
1441 "Europe" 54.42 147 -3
1441 "North America" 75.76 33 2
1441 "Asia" 63.79 58 2
1441 "Oceania" 55.07 207 2
1440 "Europe" 67.44 43 -1
1440 "Oceania" 54.01 274 4
1440 "Europe" 87.5 16 4
1440 "Europe" 53.81 236 1
1440 "Europe" 55.35 215 3
1439 "North America" 63.83 47 2
1439 "Europe" 55.97 243 1
1439 "South America" 67.86 28 -4
1439 "Asia" 55.51 227 2
1439 "Europe" 52.96 406 1
1439 "Europe" 73.33 30 1
1439 "North America" 53.59 209 -3
1439 "North America" 58.25 103 1
1439 "Asia" 56.3 135 -4
1439 "Europe" 58.4 125 -1
1438 "Europe" 57.14 133 -1
1438 "Asia" 86.67 15 9
1438 "Europe" 72 25 3
1438 "Europe" 52.59 135 1
1438 "Asia" 55.42 166 4
1438 "Europe" 81.82 22 3
1438 "Asia" 67.91 134 17
1438 "Europe" 54.59 196 1
1438 "Europe" 51.41 708 -1
1437 "Asia" 73.91 23 -1
1437 "Europe" 60.47 86 -2
1437 "Europe" 53.59 209 2
1437 "Europe" 53.8 316 -2
1437 "Asia" 53.07 179 2
1437 "North America" 57.94 107 2
1437 "North America" 61.54 39 1
1437 "Oceania" 82.35 17 -2
1437 "Europe" 53.76 266 1
1437 "North America" 54.5 189 1
1436 "Europe" 55.14 214 4
1436 "Asia" 55.1 196 1
1436 "North America" 53.14 318 3
1436 "Europe" 53.61 166 2
1436 "Europe" 54.07 172 1
1435 "South America" 54.91 173 2
1435 "Oceania" 51.5 468 5
1435 "Europe" 54.66 236 5
1435 "North America" 58.18 110 2
1434 "Europe" 55.06 178 -2
1434 "Europe" 53.65 274 2
1434 "Asia" 60.47 86 1
1434 "Europe" 92.31 13 -1
1433 "Europe" 84.21 19 6
1433 "Europe" 53.56 295 -1
1433 "North America" 62.96 54 1
1433 "Asia" 56.41 117 1
1433 "North America" 58.33 84 1
1433 "Europe" 67.74 31 -1
1433 "South America" 54.62 119 1
1433 "Europe" 53.85 195 2
1433 "Asia" 57.69 130 -2
1433 "Europe" 54.78 157 2
1433 "Asia" 52.71 351 2
1432 "Oceania" 59.62 104 2
1432 "Europe" 54.97 171 2
1432 "Europe" 60.29 68 3
1431 "Oceania" 59.09 66 1
1431 "Asia" 56.92 130 -3
1430 "Europe" 52.36 275 1
1430 "North America" 58.65 133 1
1430 "Europe" 86.67 15 -1
1430 "South America" 100 11 11
1430 "South America" 67.57 37 -1
1430 "North America" 83.33 18 2
1430 "North America" 87.5 16 1
1430 "Europe" 53.55 282 -1
1430 "North America" 63.86 83 1
1430 "South America" 53.36 253 2
1430 "Europe" 61.9 63 2
1430 "Asia" 57.05 149 5
1429 "Asia" 76 25 2
1429 "Europe" 55.26 152 -2
1429 "Europe" 58.62 87 6
1429 "Europe" 61.63 86 2
1429 "North America" 56.57 175 2
1429 "Europe" 92.31 13 2
1429 "Asia" 82.35 17 -1
1429 "Europe" 92.31 13 2
1429 "Asia" 82.35 17 -1
1429 "Europe" 65.22 46 4
1428 "Europe" 61.8 89 3
1428 "Europe" 59.76 82 -1
1428 "Europe" 55.97 134 2
1428 "Oceania" 100 11 11
1427 "Europe" 65.96 47 2
1427 "Oceania" 60 120 1
1427 "North America" 53.01 349 -1
1427 "Oceania" 52.52 278 1
1427 "Europe" 64.52 62 -2
1427 "Asia" 52.55 432 1
1426 "North America" 52.74 347 -2
1426 "Europe" 61.17 103 1
1426 "Europe" 57.29 96 1
1426 "North America" 54.74 190 -2
1426 "Europe" 72.41 29 1
1426 "North America" 69.23 26 1
1426 "Europe" 56.95 151 1
1426 "Europe" 57.8 109 2
1425 "Asia" 54.04 285 2
1425 "Asia" 54.12 194 2
1425 "North America" 56.82 88 3
1425 "South America" 53.52 256 -1
1425 "South America" 54.81 208 2
1425 "Oceania" 56.9 174 -2
1425 "Asia" 92.31 13 1
1425 "Europe" 53.16 237 3
1425 "Europe" 92.31 13 6
1425 "Europe" 60.27 73 1
1424 "Asia" 60.94 64 -1
1424 "Asia" 66.67 42 4
1424 "Asia" 85.71 14 3
1424 "Europe" 58 100 -2
1424 "Europe" 52.83 212 3
1424 "North America" 60 60 3
1424 "Asia" 62.5 64 -1
1424 "Asia" 66.67 30 -2
1424 "Asia" 77.78 27 -1
1424 "Europe" 74.07 27 6
1423 "Asia" 54.04 272 -1
1423 "Asia" 59.8 102 7
1423 "Europe" 63.83 47 1
1423 "Europe" 52.49 261 4
1423 "Europe" 57.48 127 1
1422 "Europe" 53.69 203 1
1422 "Europe" 54.3 221 1
1422 "Europe" 54.43 158 -2
1422 "Europe" 64.29 56 -2
1422 "Europe" 59.68 62 4
1422 "Europe" 56.06 132 1
1422 "North America" 53.33 165 4
1422 "Europe" 52.41 187 1
1422 "Europe" 60.27 73 5
1422 "Europe" 63.08 65 5
1422 "Europe" 51.34 709 -2
1421 "Asia" 56.38 149 2
1421 "North America" 52.15 303 1
1421 "Asia" 54.2 238 -1
1421 "Europe" 53.38 148 -2
1421 "Asia" 57.69 78 1
1421 "North America" 61.11 36 -1
1421 "North America" 54.07 246 -1
1421 "North America" 60.26 78 8
1421 "Europe" 56.3 119 1
1421 "Asia" 54.82 197 1
1420 "Oceania" 68.18 44 3
1420 "North America" 64.1 39 1
1420 "Oceania" 56.28 183 3
1420 "North America" 62.5 48 3
1420 "North America" 100 11 11
1420 "Europe" 55.98 184 2
1420 "North America" 57.25 138 2
1420 "Asia" 66.67 36 8
1420 "Europe" 55 220 1
1419 "Europe" 56.16 146 2
1419 "Europe" 72 25 -1
1419 "Europe" 75 24 1
1419 "Europe" 56.25 128 -4
1418 "Oceania" 61.22 49 6
1418 "Asia" 51.98 329 6
1418 "Europe" 57.14 98 1
1418 "North America" 75 28 1
1418 "Europe" 54.69 128 4
1417 "North America" 59.15 71 1
1417 "North America" 62.96 54 -2
1417 "Asia" 55.06 247 2
1417 "Europe" 68.29 41 2
1416 "Europe" 53.01 332 -1
1416 "Asia" 54.44 180 4
1416 "North America" 57.14 147 4
1416 "Europe" 86.67 15 3
1416 "Asia" 73.08 26 -1
1416 "North America" 57.35 68 1
1416 "Europe" 60 65 -2
1415 "Europe" 63.1 84 2
1415 "Oceania" 91.67 12 3
1415 "North America" 55.49 173 1
1415 "North America" 62.32 69 1
1415 "North America" 55.49 173 1
1415 "North America" 62.32 69 1
1414 "North America" 55.04 129 -1
1414 "Oceania" 54.14 266 -1
1414 "Asia" 52.66 207 -2
1414 "Asia" 54.5 189 3
1414 "Europe" 82.35 17 1
1414 "North America" 92.31 13 7
1414 "North America" 55.71 210 -2
1414 "Asia" 55.83 163 1
1414 "Europe" 51.96 179 -1
1414 "Europe" 52.12 449 1
1413 "Asia" 52.22 293 3
1413 "Asia" 54.61 141 5
1413 "Europe" 57.53 146 3
1413 "Europe" 62.03 79 3
1413 "Europe" 75 20 -3
1413 "South America" 66.67 42 2
1413 "Asia" 56.29 167 -1
1413 "Europe" 86.67 15 2
1412 "Asia" 56.56 122 2
1412 "Europe" 60.38 53 2
1412 "Asia" 53.85 247 2
1412 "South America" 53.85 273 -1
1412 "Europe" 53.21 280 3
1412 "Europe" 55.78 147 -1
